run_nr;hex_nr;point;x;y;z
1;1;1;4,24;4,24;-157,310
1;1;1;4,74;4,24;-157,292
1;1;1;4,68;4,49;-157,335
1;1;1;4,49;4,68;-157,292
1;1;1;4,24;4,74;-157,292
1;1;1;3,99;4,68;-157,292
1;1;1;3,81;4,49;-157,316
1;1;1;3,74;4,24;-157,261
1;1;1;3,81;3,99;-157,322
1;1;1;3,99;3,81;-157,286
1;1;1;4,24;3,74;-157,347
1;1;1;4,49;3,81;-157,274
1;1;1;4,68;3,99;-157,341
1;1;2;3,36;12,56;-157,304
1;1;2;3,86;12,56;-157,365
1;1;2;3,80;12,81;-157,359
1;1;2;3,61;12,99;-157,335
1;1;2;3,36;13,06;-157,328
1;1;2;3,11;12,99;-157,328
1;1;2;2,93;12,81;-157,328
1;1;2;2,86;12,56;-157,298
1;1;2;2,93;12,31;-157,322
1;1;2;3,11;12,12;-157,353
1;1;2;3,36;12,06;-157,322
1;1;2;3,61;12,12;-157,383
1;1;2;3,80;12,31;-157,377
1;1;3;9,19;9,19;-157,347
1;1;3;9,69;9,19;-157,322
1;1;3;9,63;9,44;-157,371
1;1;3;9,44;9,63;-157,322
1;1;3;9,19;9,69;-157,304
1;1;3;8,94;9,63;-157,310
1;1;3;8,76;9,44;-157,304
1;1;3;8,69;9,19;-157,274
1;1;3;8,76;8,94;-157,322
1;1;3;8,94;8,76;-157,347
1;1;3;9,19;8,69;-157,347
1;1;3;9,44;8,76;-157,286
1;1;3;9,63;8,94;-157,365
1;1;4;12,56;3,36;-157,310
1;1;4;13,06;3,36;-157,292
1;1;4;12,99;3,61;-157,341
1;1;4;12,81;3,80;-157,274
1;1;4;12,56;3,86;-157,292
1;1;4;12,31;3,80;-157,286
1;1;4;12,12;3,61;-157,322
1;1;4;12,06;3,36;-157,310
1;1;4;12,12;3,11;-157,286
1;1;4;12,31;2,93;-157,310
1;1;4;12,56;2,86;-157,322
1;1;4;12,81;2,93;-157,353
1;1;4;12,99;3,11;-157,280
1;1;5;19,32;5,18;-157,249
1;1;5;19,82;5,18;-157,347
1;1;5;19,75;5,43;-157,341
1;1;5;19,57;5,61;-157,286
1;1;5;19,32;5,68;-157,280
1;1;5;19,07;5,61;-157,335
1;1;5;18,89;5,43;-157,280
1;1;5;18,82;5,18;-157,316
1;1;5;18,89;4,93;-157,304
1;1;5;19,07;4,74;-157,310
1;1;5;19,32;4,68;-157,371
1;1;5;19,57;4,74;-157,335
1;1;5;19,75;4,93;-157,322
1;1;6;17,32;10,00;-157,328
1;1;6;17,82;10,00;-157,316
1;1;6;17,75;10,25;-157,347
1;1;6;17,57;10,43;-157,322
1;1;6;17,32;10,50;-157,341
1;1;6;17,07;10,43;-157,292
1;1;6;16,89;10,25;-157,316
1;1;6;16,82;10,00;-157,341
1;1;6;16,89;9,75;-157,335
1;1;6;17,07;9,57;-157,280
1;1;6;17,32;9,50;-157,304
1;1;6;17,57;9,57;-157,304
1;1;6;17,75;9,75;-157,298
1;1;7;14,14;14,14;-157,359
1;1;7;14,64;14,14;-157,316
1;1;7;14,58;14,39;-157,328
1;1;7;14,39;14,58;-157,292
1;1;7;14,14;14,64;-157,359
1;1;7;13,89;14,58;-157,335
1;1;7;13,71;14,39;-157,353
1;1;7;13,64;14,14;-157,353
1;1;7;13,71;13,89;-157,298
1;1;7;13,89;13,71;-157,274
1;1;7;14,14;13,64;-157,347
1;1;7;14,39;13,71;-157,347
1;1;7;14,58;13,89;-157,316
1;1;8;10,00;17,32;-157,359
1;1;8;10,50;17,32;-157,365
1;1;8;10,43;17,57;-157,420
1;1;8;10,25;17,75;-157,389
1;1;8;10,00;17,82;-157,322
1;1;8;9,75;17,75;-157,353
1;1;8;9,57;17,57;-157,335
1;1;8;9,50;17,32;-157,292
1;1;8;9,57;17,07;-157,365
1;1;8;9,75;16,89;-157,353
1;1;8;10,00;16,82;-157,292
1;1;8;10,25;16,89;-157,371
1;1;8;10,43;17,07;-157,377
1;1;9;5,18;19,32;-157,310
1;1;9;5,68;19,32;-157,310
1;1;9;5,61;19,57;-157,365
1;1;9;5,43;19,75;-157,298
1;1;9;5,18;19,82;-157,347
1;1;9;4,93;19,75;-157,280
1;1;9;4,74;19,57;-157,347
1;1;9;4,68;19,32;-157,261
1;1;9;4,74;19,07;-157,292
1;1;9;4,93;18,89;-157,347
1;1;9;5,18;18,82;-157,328
1;1;9;5,43;18,89;-157,304
1;1;9;5,61;19,07;-157,310
1;1;10;-5,18;19,32;-157,347
1;1;10;-4,68;19,32;-157,341
1;1;10;-4,74;19,57;-157,341
1;1;10;-4,93;19,75;-157,328
1;1;10;-5,18;19,82;-157,304
1;1;10;-5,43;19,75;-157,304
1;1;10;-5,61;19,57;-157,322
1;1;10;-5,68;19,32;-157,286
1;1;10;-5,61;19,07;-157,310
1;1;10;-5,43;18,89;-157,353
1;1;10;-5,18;18,82;-157,274
1;1;10;-4,93;18,89;-157,274
1;1;10;-4,74;19,07;-157,322
1;1;11;-10,00;17,32;-157,347
1;1;11;-9,50;17,32;-157,304
1;1;11;-9,57;17,57;-157,371
1;1;11;-9,75;17,75;-157,328
1;1;11;-10,00;17,82;-157,322
1;1;11;-10,25;17,75;-157,304
1;1;11;-10,43;17,57;-157,322
1;1;11;-10,50;17,32;-157,347
1;1;11;-10,43;17,07;-157,322
1;1;11;-10,25;16,89;-157,316
1;1;11;-10,00;16,82;-157,347
1;1;11;-9,75;16,89;-157,335
1;1;11;-9,57;17,07;-157,292
1;1;12;-14,14;14,14;-157,310
1;1;12;-13,64;14,14;-157,310
1;1;12;-13,71;14,39;-157,335
1;1;12;-13,89;14,58;-157,298
1;1;12;-14,14;14,64;-157,316
1;1;12;-14,39;14,58;-157,371
1;1;12;-14,58;14,39;-157,310
1;1;12;-14,64;14,14;-157,267
1;1;12;-14,58;13,89;-157,280
1;1;12;-14,39;13,71;-157,335
1;1;12;-14,14;13,64;-157,255
1;1;12;-13,89;13,71;-157,310
1;1;12;-13,71;13,89;-157,347
1;1;13;-17,32;10,00;-157,310
1;1;13;-16,82;10,00;-157,292
1;1;13;-16,89;10,25;-157,328
1;1;13;-17,07;10,43;-157,304
1;1;13;-17,32;10,50;-157,310
1;1;13;-17,57;10,43;-157,328
1;1;13;-17,75;10,25;-157,335
1;1;13;-17,82;10,00;-157,274
1;1;13;-17,75;9,75;-157,347
1;1;13;-17,57;9,57;-157,328
1;1;13;-17,32;9,50;-157,298
1;1;13;-17,07;9,57;-157,353
1;1;13;-16,89;9,75;-157,304
1;1;14;-19,32;5,18;-157,335
1;1;14;-18,82;5,18;-157,347
1;1;14;-18,89;5,43;-157,353
1;1;14;-19,07;5,61;-157,322
1;1;14;-19,32;5,68;-157,347
1;1;14;-19,57;5,61;-157,328
1;1;14;-19,75;5,43;-157,298
1;1;14;-19,82;5,18;-157,298
1;1;14;-19,75;4,93;-157,298
1;1;14;-19,57;4,74;-157,328
1;1;14;-19,32;4,68;-157,335
1;1;14;-19,07;4,74;-157,322
1;1;14;-18,89;4,93;-157,335
1;1;15;-12,56;3,36;-157,310
1;1;15;-12,06;3,36;-157,328
1;1;15;-12,12;3,61;-157,328
1;1;15;-12,31;3,80;-157,353
1;1;15;-12,56;3,86;-157,298
1;1;15;-12,81;3,80;-157,310
1;1;15;-12,99;3,61;-157,310
1;1;15;-13,06;3,36;-157,347
1;1;15;-12,99;3,11;-157,286
1;1;15;-12,81;2,93;-157,383
1;1;15;-12,56;2,86;-157,335
1;1;15;-12,31;2,93;-157,353
1;1;15;-12,12;3,11;-157,316
1;1;16;-9,19;9,19;-157,310
1;1;16;-8,69;9,19;-157,328
1;1;16;-8,76;9,44;-157,292
1;1;16;-8,94;9,63;-157,322
1;1;16;-9,19;9,69;-157,280
1;1;16;-9,44;9,63;-157,341
1;1;16;-9,63;9,44;-157,261
1;1;16;-9,69;9,19;-157,304
1;1;16;-9,63;8,94;-157,237
1;1;16;-9,44;8,76;-157,286
1;1;16;-9,19;8,69;-157,335
1;1;16;-8,94;8,76;-157,328
1;1;16;-8,76;8,94;-157,274
1;1;17;-3,36;12,56;-157,335
1;1;17;-2,86;12,56;-157,328
1;1;17;-2,93;12,81;-157,341
1;1;17;-3,11;12,99;-157,347
1;1;17;-3,36;13,06;-157,389
1;1;17;-3,61;12,99;-157,322
1;1;17;-3,80;12,81;-157,341
1;1;17;-3,86;12,56;-157,316
1;1;17;-3,80;12,31;-157,328
1;1;17;-3,61;12,12;-157,304
1;1;17;-3,36;12,06;-157,347
1;1;17;-3,11;12,12;-157,304
1;1;17;-2,93;12,31;-157,298
1;1;18;-4,24;4,24;-157,298
1;1;18;-3,74;4,24;-157,347
1;1;18;-3,81;4,49;-157,359
1;1;18;-3,99;4,68;-157,322
1;1;18;-4,24;4,74;-157,280
1;1;18;-4,49;4,68;-157,280
1;1;18;-4,68;4,49;-157,298
1;1;18;-4,74;4,24;-157,274
1;1;18;-4,68;3,99;-157,335
1;1;18;-4,49;3,81;-157,316
1;1;18;-4,24;3,74;-157,286
1;1;18;-3,99;3,81;-157,316
1;1;18;-3,81;3,99;-157,341
1;1;19;-4,24;-4,24;-157,359
1;1;19;-3,74;-4,24;-157,322
1;1;19;-3,81;-3,99;-157,280
1;1;19;-3,99;-3,81;-157,347
1;1;19;-4,24;-3,74;-157,322
1;1;19;-4,49;-3,81;-157,298
1;1;19;-4,68;-3,99;-157,353
1;1;19;-4,74;-4,24;-157,322
1;1;19;-4,68;-4,49;-157,322
1;1;19;-4,49;-4,68;-157,310
1;1;19;-4,24;-4,74;-157,341
1;1;19;-3,99;-4,68;-157,341
1;1;19;-3,81;-4,49;-157,292
1;1;20;-3,36;-12,56;-157,310
1;1;20;-2,86;-12,56;-157,298
1;1;20;-2,93;-12,31;-157,335
1;1;20;-3,11;-12,12;-157,298
1;1;20;-3,36;-12,06;-157,322
1;1;20;-3,61;-12,12;-157,420
1;1;20;-3,80;-12,31;-157,347
1;1;20;-3,86;-12,56;-157,328
1;1;20;-3,80;-12,81;-157,304
1;1;20;-3,61;-12,99;-157,341
1;1;20;-3,36;-13,06;-157,335
1;1;20;-3,11;-12,99;-157,322
1;1;20;-2,93;-12,81;-157,328
1;1;21;-9,19;-9,19;-157,304
1;1;21;-8,69;-9,19;-157,322
1;1;21;-8,76;-8,94;-157,316
1;1;21;-8,94;-8,76;-157,347
1;1;21;-9,19;-8,69;-157,298
1;1;21;-9,44;-8,76;-157,335
1;1;21;-9,63;-8,94;-157,328
1;1;21;-9,69;-9,19;-157,292
1;1;21;-9,63;-9,44;-157,298
1;1;21;-9,44;-9,63;-157,292
1;1;21;-9,19;-9,69;-157,286
1;1;21;-8,94;-9,63;-157,304
1;1;21;-8,76;-9,44;-157,402
1;1;22;-12,56;-3,36;-157,316
1;1;22;-12,06;-3,36;-157,292
1;1;22;-12,12;-3,11;-157,377
1;1;22;-12,31;-2,93;-157,359
1;1;22;-12,56;-2,86;-157,298
1;1;22;-12,81;-2,93;-157,341
1;1;22;-12,99;-3,11;-157,280
1;1;22;-13,06;-3,36;-157,341
1;1;22;-12,99;-3,61;-157,310
1;1;22;-12,81;-3,80;-157,292
1;1;22;-12,56;-3,86;-157,316
1;1;22;-12,31;-3,80;-157,353
1;1;22;-12,12;-3,61;-157,310
1;1;23;-19,32;-5,18;-157,335
1;1;23;-18,82;-5,18;-157,347
1;1;23;-18,89;-4,93;-157,304
1;1;23;-19,07;-4,74;-157,328
1;1;23;-19,32;-4,68;-157,347
1;1;23;-19,57;-4,74;-157,322
1;1;23;-19,75;-4,93;-157,335
1;1;23;-19,82;-5,18;-157,322
1;1;23;-19,75;-5,43;-157,341
1;1;23;-19,57;-5,61;-157,353
1;1;23;-19,32;-5,68;-157,335
1;1;23;-19,07;-5,61;-157,353
1;1;23;-18,89;-5,43;-157,280
1;1;24;-17,32;-10,00;-157,328
1;1;24;-16,82;-10,00;-157,310
1;1;24;-16,89;-9,75;-157,310
1;1;24;-17,07;-9,57;-157,371
1;1;24;-17,32;-9,50;-157,359
1;1;24;-17,57;-9,57;-157,377
1;1;24;-17,75;-9,75;-157,335
1;1;24;-17,82;-10,00;-157,322
1;1;24;-17,75;-10,25;-157,316
1;1;24;-17,57;-10,43;-157,316
1;1;24;-17,32;-10,50;-157,304
1;1;24;-17,07;-10,43;-157,292
1;1;24;-16,89;-10,25;-157,347
1;1;25;-14,14;-14,14;-157,292
1;1;25;-13,64;-14,14;-157,316
1;1;25;-13,71;-13,89;-157,316
1;1;25;-13,89;-13,71;-157,353
1;1;25;-14,14;-13,64;-157,304
1;1;25;-14,39;-13,71;-157,353
1;1;25;-14,58;-13,89;-157,328
1;1;25;-14,64;-14,14;-157,274
1;1;25;-14,58;-14,39;-157,365
1;1;25;-14,39;-14,58;-157,341
1;1;25;-14,14;-14,64;-157,322
1;1;25;-13,89;-14,58;-157,353
1;1;25;-13,71;-14,39;-157,347
1;1;26;-10,00;-17,32;-157,298
1;1;26;-9,50;-17,32;-157,304
1;1;26;-9,57;-17,07;-157,347
1;1;26;-9,75;-16,89;-157,365
1;1;26;-10,00;-16,82;-157,341
1;1;26;-10,25;-16,89;-157,328
1;1;26;-10,43;-17,07;-157,402
1;1;26;-10,50;-17,32;-157,347
1;1;26;-10,43;-17,57;-157,304
1;1;26;-10,25;-17,75;-157,316
1;1;26;-10,00;-17,82;-157,274
1;1;26;-9,75;-17,75;-157,292
1;1;26;-9,57;-17,57;-157,267
1;1;27;-5,18;-19,32;-157,389
1;1;27;-4,68;-19,32;-157,377
1;1;27;-4,74;-19,07;-157,328
1;1;27;-4,93;-18,89;-157,316
1;1;27;-5,18;-18,82;-157,316
1;1;27;-5,43;-18,89;-157,274
1;1;27;-5,61;-19,07;-157,322
1;1;27;-5,68;-19,32;-157,347
1;1;27;-5,61;-19,57;-157,341
1;1;27;-5,43;-19,75;-157,286
1;1;27;-5,18;-19,82;-157,316
1;1;27;-4,93;-19,75;-157,316
1;1;27;-4,74;-19,57;-157,328
1;1;28;5,18;-19,32;-157,335
1;1;28;5,68;-19,32;-157,322
1;1;28;5,61;-19,07;-157,347
1;1;28;5,43;-18,89;-157,298
1;1;28;5,18;-18,82;-157,341
1;1;28;4,93;-18,89;-157,292
1;1;28;4,74;-19,07;-157,292
1;1;28;4,68;-19,32;-157,322
1;1;28;4,74;-19,57;-157,328
1;1;28;4,93;-19,75;-157,274
1;1;28;5,18;-19,82;-157,322
1;1;28;5,43;-19,75;-157,316
1;1;28;5,61;-19,57;-157,359
1;1;29;10,00;-17,32;-157,328
1;1;29;10,50;-17,32;-157,341
1;1;29;10,43;-17,07;-157,341
1;1;29;10,25;-16,89;-157,347
1;1;29;10,00;-16,82;-157,341
1;1;29;9,75;-16,89;-157,353
1;1;29;9,57;-17,07;-157,402
1;1;29;9,50;-17,32;-157,328
1;1;29;9,57;-17,57;-157,347
1;1;29;9,75;-17,75;-157,310
1;1;29;10,00;-17,82;-157,292
1;1;29;10,25;-17,75;-157,267
1;1;29;10,43;-17,57;-157,322
1;1;30;14,14;-14,14;-157,261
1;1;30;14,64;-14,14;-157,359
1;1;30;14,58;-13,89;-157,365
1;1;30;14,39;-13,71;-157,341
1;1;30;14,14;-13,64;-157,322
1;1;30;13,89;-13,71;-157,335
1;1;30;13,71;-13,89;-157,328
1;1;30;13,64;-14,14;-157,341
1;1;30;13,71;-14,39;-157,310
1;1;30;13,89;-14,58;-157,347
1;1;30;14,14;-14,64;-157,298
1;1;30;14,39;-14,58;-157,316
1;1;30;14,58;-14,39;-157,335
1;1;31;17,32;-10,00;-157,298
1;1;31;17,82;-10,00;-157,335
1;1;31;17,75;-9,75;-157,347
1;1;31;17,57;-9,57;-157,310
1;1;31;17,32;-9,50;-157,335
1;1;31;17,07;-9,57;-157,310
1;1;31;16,89;-9,75;-157,322
1;1;31;16,82;-10,00;-157,328
1;1;31;16,89;-10,25;-157,286
1;1;31;17,07;-10,43;-157,322
1;1;31;17,32;-10,50;-157,292
1;1;31;17,57;-10,43;-157,347
1;1;31;17,75;-10,25;-157,341
1;1;32;19,32;-5,18;-157,347
1;1;32;19,82;-5,18;-157,274
1;1;32;19,75;-4,93;-157,347
1;1;32;19,57;-4,74;-157,328
1;1;32;19,32;-4,68;-157,341
1;1;32;19,07;-4,74;-157,347
1;1;32;18,89;-4,93;-157,341
1;1;32;18,82;-5,18;-157,304
1;1;32;18,89;-5,43;-157,341
1;1;32;19,07;-5,61;-157,304
1;1;32;19,32;-5,68;-157,310
1;1;32;19,57;-5,61;-157,292
1;1;32;19,75;-5,43;-157,335
1;1;33;12,56;-3,36;-157,347
1;1;33;13,06;-3,36;-157,316
1;1;33;12,99;-3,11;-157,316
1;1;33;12,81;-2,93;-157,341
1;1;33;12,56;-2,86;-157,347
1;1;33;12,31;-2,93;-157,335
1;1;33;12,12;-3,11;-157,292
1;1;33;12,06;-3,36;-157,286
1;1;33;12,12;-3,61;-157,328
1;1;33;12,31;-3,80;-157,310
1;1;33;12,56;-3,86;-157,316
1;1;33;12,81;-3,80;-157,341
1;1;33;12,99;-3,61;-157,267
1;1;34;9,19;-9,19;-157,286
1;1;34;9,69;-9,19;-157,322
1;1;34;9,63;-8,94;-157,335
1;1;34;9,44;-8,76;-157,328
1;1;34;9,19;-8,69;-157,316
1;1;34;8,94;-8,76;-157,322
1;1;34;8,76;-8,94;-157,292
1;1;34;8,69;-9,19;-157,365
1;1;34;8,76;-9,44;-157,341
1;1;34;8,94;-9,63;-157,267
1;1;34;9,19;-9,69;-157,365
1;1;34;9,44;-9,63;-157,310
1;1;34;9,63;-9,44;-157,371
1;1;35;3,36;-12,56;-157,292
1;1;35;3,86;-12,56;-157,328
1;1;35;3,80;-12,31;-157,335
1;1;35;3,61;-12,12;-157,365
1;1;35;3,36;-12,06;-157,328
1;1;35;3,11;-12,12;-157,322
1;1;35;2,93;-12,31;-157,371
1;1;35;2,86;-12,56;-157,347
1;1;35;2,93;-12,81;-157,347
1;1;35;3,11;-12,99;-156,901
1;1;35;3,36;-13,06;-157,353
1;1;35;3,61;-12,99;-157,298
1;1;35;3,80;-12,81;-157,335
1;1;36;4,24;-4,24;-157,347
1;1;36;4,74;-4,24;-157,267
1;1;36;4,68;-3,99;-157,347
1;1;36;4,49;-3,81;-157,341
