run_nr;hex_nr;point;x;y;z
1;1;1;4,24;4,24;-157,212
1;1;1;4,74;4,24;-157,219
1;1;1;4,68;4,49;-157,292
1;1;1;4,49;4,68;-157,322
1;1;1;4,24;4,74;-157,304
1;1;1;3,99;4,68;-157,219
1;1;1;3,81;4,49;-157,316
1;1;1;3,74;4,24;-157,231
1;1;1;3,81;3,99;-157,249
1;1;1;3,99;3,81;-157,267
1;1;1;4,24;3,74;-157,267
1;1;1;4,49;3,81;-157,225
1;1;1;4,68;3,99;-157,304
1;1;2;3,36;12,56;-157,267
1;1;2;3,86;12,56;-157,261
1;1;2;3,80;12,81;-157,280
1;1;2;3,61;12,99;-157,280
1;1;2;3,36;13,06;-157,304
1;1;2;3,11;12,99;-157,249
1;1;2;2,93;12,81;-157,212
1;1;2;2,86;12,56;-157,237
1;1;2;2,93;12,31;-157,188
1;1;2;3,11;12,12;-157,304
1;1;2;3,36;12,06;-157,274
1;1;2;3,61;12,12;-157,231
1;1;2;3,80;12,31;-157,335
1;1;3;9,19;9,19;-157,261
1;1;3;9,69;9,19;-157,237
1;1;3;9,63;9,44;-157,243
1;1;3;9,44;9,63;-157,255
1;1;3;9,19;9,69;-157,176
1;1;3;8,94;9,63;-157,286
1;1;3;8,76;9,44;-157,261
1;1;3;8,69;9,19;-157,335
1;1;3;8,76;8,94;-157,164
1;1;3;8,94;8,76;-157,261
1;1;3;9,19;8,69;-157,243
1;1;3;9,44;8,76;-157,255
1;1;3;9,63;8,94;-157,231
1;1;4;12,56;3,36;-157,280
1;1;4;13,06;3,36;-157,200
1;1;4;12,99;3,61;-157,243
1;1;4;12,81;3,80;-157,243
1;1;4;12,56;3,86;-157,225
1;1;4;12,31;3,80;-157,298
1;1;4;12,12;3,61;-157,237
1;1;4;12,06;3,36;-157,243
1;1;4;12,12;3,11;-157,286
1;1;4;12,31;2,93;-157,158
1;1;4;12,56;2,86;-157,353
1;1;4;12,81;2,93;-157,194
1;1;4;12,99;3,11;-157,304
1;1;5;19,32;5,18;-157,243
1;1;5;19,82;5,18;-157,261
1;1;5;19,75;5,43;-157,322
1;1;5;19,57;5,61;-157,286
1;1;5;19,32;5,68;-157,249
1;1;5;19,07;5,61;-157,212
1;1;5;18,89;5,43;-157,292
1;1;5;18,82;5,18;-157,225
1;1;5;18,89;4,93;-157,286
1;1;5;19,07;4,74;-157,170
1;1;5;19,32;4,68;-157,219
1;1;5;19,57;4,74;-157,298
1;1;5;19,75;4,93;-157,304
1;1;6;17,32;10,00;-157,298
1;1;6;17,82;10,00;-157,237
1;1;6;17,75;10,25;-157,274
1;1;6;17,57;10,43;-157,274
1;1;6;17,32;10,50;-157,231
1;1;6;17,07;10,43;-157,237
1;1;6;16,89;10,25;-157,267
1;1;6;16,82;10,00;-157,261
1;1;6;16,89;9,75;-157,231
1;1;6;17,07;9,57;-157,286
1;1;6;17,32;9,50;-157,267
1;1;6;17,57;9,57;-157,316
1;1;6;17,75;9,75;-157,237
1;1;7;14,14;14,14;-157,225
1;1;7;14,64;14,14;-157,292
1;1;7;14,58;14,39;-157,261
1;1;7;14,39;14,58;-157,292
1;1;7;14,14;14,64;-157,249
1;1;7;13,89;14,58;-157,219
1;1;7;13,71;14,39;-157,231
1;1;7;13,64;14,14;-157,225
1;1;7;13,71;13,89;-157,243
1;1;7;13,89;13,71;-157,225
1;1;7;14,14;13,64;-157,225
1;1;7;14,39;13,71;-157,212
1;1;7;14,58;13,89;-157,322
1;1;8;10,00;17,32;-157,316
1;1;8;10,50;17,32;-157,274
1;1;8;10,43;17,57;-157,237
1;1;8;10,25;17,75;-157,304
1;1;8;10,00;17,82;-157,212
1;1;8;9,75;17,75;-157,231
1;1;8;9,57;17,57;-157,292
1;1;8;9,50;17,32;-157,212
1;1;8;9,57;17,07;-157,286
1;1;8;9,75;16,89;-157,261
1;1;8;10,00;16,82;-157,243
1;1;8;10,25;16,89;-157,206
1;1;8;10,43;17,07;-157,298
1;1;9;5,18;19,32;-157,255
1;1;9;5,68;19,32;-157,328
1;1;9;5,61;19,57;-157,298
1;1;9;5,43;19,75;-157,237
1;1;9;5,18;19,82;-157,286
1;1;9;4,93;19,75;-157,274
1;1;9;4,74;19,57;-157,158
1;1;9;4,68;19,32;-157,249
1;1;9;4,74;19,07;-157,237
1;1;9;4,93;18,89;-157,225
1;1;9;5,18;18,82;-157,286
1;1;9;5,43;18,89;-157,267
1;1;9;5,61;19,07;-157,280
1;1;10;-5,18;19,32;-157,249
1;1;10;-4,68;19,32;-157,261
1;1;10;-4,74;19,57;-157,310
1;1;10;-4,93;19,75;-157,188
1;1;10;-5,18;19,82;-157,237
1;1;10;-5,43;19,75;-157,267
1;1;10;-5,61;19,57;-157,225
1;1;10;-5,68;19,32;-157,243
1;1;10;-5,61;19,07;-157,274
1;1;10;-5,43;18,89;-157,206
1;1;10;-5,18;18,82;-157,267
1;1;10;-4,93;18,89;-157,255
1;1;10;-4,74;19,07;-157,225
1;1;11;-10,00;17,32;-157,206
1;1;11;-9,50;17,32;-157,237
1;1;11;-9,57;17,57;-157,298
1;1;11;-9,75;17,75;-157,237
1;1;11;-10,00;17,82;-157,292
1;1;11;-10,25;17,75;-157,267
1;1;11;-10,43;17,57;-157,194
1;1;11;-10,50;17,32;-157,225
1;1;11;-10,43;17,07;-157,225
1;1;11;-10,25;16,89;-157,292
1;1;11;-10,00;16,82;-157,225
1;1;11;-9,75;16,89;-157,255
1;1;11;-9,57;17,07;-157,298
1;1;12;-14,14;14,14;-157,219
1;1;12;-13,64;14,14;-157,243
1;1;12;-13,71;14,39;-157,249
1;1;12;-13,89;14,58;-157,231
1;1;12;-14,14;14,64;-157,267
1;1;12;-14,39;14,58;-157,267
1;1;12;-14,58;14,39;-157,292
1;1;12;-14,64;14,14;-157,261
1;1;12;-14,58;13,89;-157,212
1;1;12;-14,39;13,71;-157,231
1;1;12;-14,14;13,64;-157,219
1;1;12;-13,89;13,71;-157,261
1;1;12;-13,71;13,89;-157,255
1;1;13;-17,32;10,00;-157,176
1;1;13;-16,82;10,00;-157,261
1;1;13;-16,89;10,25;-157,231
1;1;13;-17,07;10,43;-157,328
1;1;13;-17,32;10,50;-157,274
1;1;13;-17,57;10,43;-157,243
1;1;13;-17,75;10,25;-157,231
1;1;13;-17,82;10,00;-157,219
1;1;13;-17,75;9,75;-157,274
1;1;13;-17,57;9,57;-157,261
1;1;13;-17,32;9,50;-157,212
1;1;13;-17,07;9,57;-157,237
1;1;13;-16,89;9,75;-157,249
1;1;14;-19,32;5,18;-157,261
1;1;14;-18,82;5,18;-157,249
1;1;14;-18,89;5,43;-157,261
1;1;14;-19,07;5,61;-157,225
1;1;14;-19,32;5,68;-157,261
1;1;14;-19,57;5,61;-157,255
1;1;14;-19,75;5,43;-157,261
1;1;14;-19,82;5,18;-157,212
1;1;14;-19,75;4,93;-157,255
1;1;14;-19,57;4,74;-157,237
1;1;14;-19,32;4,68;-157,231
1;1;14;-19,07;4,74;-157,353
1;1;14;-18,89;4,93;-157,292
1;1;15;-12,56;3,36;-157,249
1;1;15;-12,06;3,36;-157,243
1;1;15;-12,12;3,61;-157,261
1;1;15;-12,31;3,80;-157,212
1;1;15;-12,56;3,86;-157,255
1;1;15;-12,81;3,80;-157,176
1;1;15;-12,99;3,61;-157,298
1;1;15;-13,06;3,36;-157,292
1;1;15;-12,99;3,11;-157,267
1;1;15;-12,81;2,93;-157,255
1;1;15;-12,56;2,86;-157,249
1;1;15;-12,31;2,93;-157,280
1;1;15;-12,12;3,11;-157,225
1;1;16;-9,19;9,19;-157,212
1;1;16;-8,69;9,19;-157,304
1;1;16;-8,76;9,44;-157,292
1;1;16;-8,94;9,63;-157,267
1;1;16;-9,19;9,69;-157,255
1;1;16;-9,44;9,63;-157,274
1;1;16;-9,63;9,44;-157,280
1;1;16;-9,69;9,19;-157,212
1;1;16;-9,63;8,94;-157,219
1;1;16;-9,44;8,76;-157,280
1;1;16;-9,19;8,69;-157,261
1;1;16;-8,94;8,76;-157,243
1;1;16;-8,76;8,94;-157,237
1;1;17;-3,36;12,56;-157,274
1;1;17;-2,86;12,56;-157,280
1;1;17;-2,93;12,81;-157,286
1;1;17;-3,11;12,99;-157,249
1;1;17;-3,36;13,06;-157,286
1;1;17;-3,61;12,99;-157,249
1;1;17;-3,80;12,81;-157,261
1;1;17;-3,86;12,56;-157,255
1;1;17;-3,80;12,31;-157,280
1;1;17;-3,61;12,12;-157,243
1;1;17;-3,36;12,06;-157,261
1;1;17;-3,11;12,12;-157,225
1;1;17;-2,93;12,31;-157,249
1;1;18;-4,24;4,24;-157,304
1;1;18;-3,74;4,24;-157,225
1;1;18;-3,81;4,49;-157,212
1;1;18;-3,99;4,68;-157,286
1;1;18;-4,24;4,74;-157,286
1;1;18;-4,49;4,68;-157,274
1;1;18;-4,68;4,49;-157,237
1;1;18;-4,74;4,24;-157,298
1;1;18;-4,68;3,99;-157,322
1;1;18;-4,49;3,81;-157,280
1;1;18;-4,24;3,74;-157,280
1;1;18;-3,99;3,81;-157,151
1;1;18;-3,81;3,99;-157,347
1;1;19;-4,24;-4,24;-157,225
1;1;19;-3,74;-4,24;-157,267
1;1;19;-3,81;-3,99;-157,292
1;1;19;-3,99;-3,81;-157,292
1;1;19;-4,24;-3,74;-157,292
1;1;19;-4,49;-3,81;-157,212
1;1;19;-4,68;-3,99;-157,280
1;1;19;-4,74;-4,24;-157,243
1;1;19;-4,68;-4,49;-157,261
1;1;19;-4,49;-4,68;-157,249
1;1;19;-4,24;-4,74;-157,225
1;1;19;-3,99;-4,68;-157,304
1;1;19;-3,81;-4,49;-157,249
1;1;20;-3,36;-12,56;-157,286
1;1;20;-2,86;-12,56;-157,158
1;1;20;-2,93;-12,31;-157,237
1;1;20;-3,11;-12,12;-157,298
1;1;20;-3,36;-12,06;-157,212
1;1;20;-3,61;-12,12;-157,292
1;1;20;-3,80;-12,31;-157,255
1;1;20;-3,86;-12,56;-157,267
1;1;20;-3,80;-12,81;-157,267
1;1;20;-3,61;-12,99;-157,310
1;1;20;-3,36;-13,06;-157,316
1;1;20;-3,11;-12,99;-157,243
1;1;20;-2,93;-12,81;-157,200
1;1;21;-9,19;-9,19;-157,267
1;1;21;-8,69;-9,19;-157,292
1;1;21;-8,76;-8,94;-157,206
1;1;21;-8,94;-8,76;-157,164
1;1;21;-9,19;-8,69;-157,316
1;1;21;-9,44;-8,76;-157,298
1;1;21;-9,63;-8,94;-157,298
1;1;21;-9,69;-9,19;-157,280
1;1;21;-9,63;-9,44;-157,261
1;1;21;-9,44;-9,63;-157,225
1;1;21;-9,19;-9,69;-157,200
1;1;21;-8,94;-9,63;-157,280
1;1;21;-8,76;-9,44;-157,286
1;1;22;-12,56;-3,36;-157,225
1;1;22;-12,06;-3,36;-157,231
1;1;22;-12,12;-3,11;-157,249
1;1;22;-12,31;-2,93;-157,231
1;1;22;-12,56;-2,86;-157,261
1;1;22;-12,81;-2,93;-157,231
1;1;22;-12,99;-3,11;-157,261
1;1;22;-13,06;-3,36;-157,249
1;1;22;-12,99;-3,61;-157,231
1;1;22;-12,81;-3,80;-157,316
1;1;22;-12,56;-3,86;-157,261
1;1;22;-12,31;-3,80;-157,280
1;1;22;-12,12;-3,61;-157,249
1;1;23;-19,32;-5,18;-157,286
1;1;23;-18,82;-5,18;-157,225
1;1;23;-18,89;-4,93;-157,298
1;1;23;-19,07;-4,74;-157,212
1;1;23;-19,32;-4,68;-157,212
1;1;23;-19,57;-4,74;-157,261
1;1;23;-19,75;-4,93;-157,249
1;1;23;-19,82;-5,18;-157,231
1;1;23;-19,75;-5,43;-157,219
1;1;23;-19,57;-5,61;-157,237
1;1;23;-19,32;-5,68;-157,219
1;1;23;-19,07;-5,61;-157,322
1;1;23;-18,89;-5,43;-157,188
1;1;24;-17,32;-10,00;-157,310
1;1;24;-16,82;-10,00;-157,353
1;1;24;-16,89;-9,75;-157,243
1;1;24;-17,07;-9,57;-157,292
1;1;24;-17,32;-9,50;-157,212
1;1;24;-17,57;-9,57;-157,212
1;1;24;-17,75;-9,75;-157,304
1;1;24;-17,82;-10,00;-157,200
1;1;24;-17,75;-10,25;-157,365
1;1;24;-17,57;-10,43;-157,292
1;1;24;-17,32;-10,50;-157,292
1;1;24;-17,07;-10,43;-157,225
1;1;24;-16,89;-10,25;-157,328
1;1;25;-14,14;-14,14;-157,267
1;1;25;-13,64;-14,14;-157,249
1;1;25;-13,71;-13,89;-157,267
1;1;25;-13,89;-13,71;-157,255
1;1;25;-14,14;-13,64;-157,249
1;1;25;-14,39;-13,71;-157,249
1;1;25;-14,58;-13,89;-157,286
1;1;25;-14,64;-14,14;-157,261
1;1;25;-14,58;-14,39;-157,292
1;1;25;-14,39;-14,58;-157,243
1;1;25;-14,14;-14,64;-157,280
1;1;25;-13,89;-14,58;-157,280
1;1;25;-13,71;-14,39;-157,225
1;1;26;-10,00;-17,32;-157,280
1;1;26;-9,50;-17,32;-157,243
1;1;26;-9,57;-17,07;-157,292
1;1;26;-9,75;-16,89;-157,243
1;1;26;-10,00;-16,82;-157,261
1;1;26;-10,25;-16,89;-157,212
1;1;26;-10,43;-17,07;-157,322
1;1;26;-10,50;-17,32;-157,280
1;1;26;-10,43;-17,57;-157,243
1;1;26;-10,25;-17,75;-157,286
1;1;26;-10,00;-17,82;-157,292
1;1;26;-9,75;-17,75;-157,206
1;1;26;-9,57;-17,57;-157,316
1;1;27;-5,18;-19,32;-157,219
1;1;27;-4,68;-19,32;-157,255
1;1;27;-4,74;-19,07;-157,274
1;1;27;-4,93;-18,89;-157,219
1;1;27;-5,18;-18,82;-157,231
1;1;27;-5,43;-18,89;-157,243
1;1;27;-5,61;-19,07;-157,237
1;1;27;-5,68;-19,32;-157,219
1;1;27;-5,61;-19,57;-157,292
1;1;27;-5,43;-19,75;-157,274
1;1;27;-5,18;-19,82;-157,194
1;1;27;-4,93;-19,75;-157,206
1;1;27;-4,74;-19,57;-157,322
1;1;28;5,18;-19,32;-157,261
1;1;28;5,68;-19,32;-157,286
1;1;28;5,61;-19,07;-157,280
1;1;28;5,43;-18,89;-157,304
1;1;28;5,18;-18,82;-157,292
1;1;28;4,93;-18,89;-157,261
1;1;28;4,74;-19,07;-157,237
1;1;28;4,68;-19,32;-157,267
1;1;28;4,74;-19,57;-157,200
1;1;28;4,93;-19,75;-157,237
1;1;28;5,18;-19,82;-157,249
1;1;28;5,43;-19,75;-157,292
1;1;28;5,61;-19,57;-157,225
1;1;29;10,00;-17,32;-157,353
1;1;29;10,50;-17,32;-157,322
1;1;29;10,43;-17,07;-157,274
1;1;29;10,25;-16,89;-157,267
1;1;29;10,00;-16,82;-157,322
1;1;29;9,75;-16,89;-157,280
1;1;29;9,57;-17,07;-157,286
1;1;29;9,50;-17,32;-157,286
1;1;29;9,57;-17,57;-157,225
1;1;29;9,75;-17,75;-157,274
1;1;29;10,00;-17,82;-157,292
1;1;29;10,25;-17,75;-157,255
1;1;29;10,43;-17,57;-157,280
1;1;30;14,14;-14,14;-157,322
1;1;30;14,64;-14,14;-157,347
1;1;30;14,58;-13,89;-157,310
1;1;30;14,39;-13,71;-157,219
1;1;30;14,14;-13,64;-157,261
1;1;30;13,89;-13,71;-157,274
1;1;30;13,71;-13,89;-157,219
1;1;30;13,64;-14,14;-157,286
1;1;30;13,71;-14,39;-157,255
1;1;30;13,89;-14,58;-157,212
1;1;30;14,14;-14,64;-157,249
1;1;30;14,39;-14,58;-157,328
1;1;30;14,58;-14,39;-157,286
1;1;31;17,32;-10,00;-157,304
1;1;31;17,82;-10,00;-157,212
1;1;31;17,75;-9,75;-157,316
1;1;31;17,57;-9,57;-157,310
1;1;31;17,32;-9,50;-157,328
1;1;31;17,07;-9,57;-157,304
1;1;31;16,89;-9,75;-157,249
1;1;31;16,82;-10,00;-157,261
1;1;31;16,89;-10,25;-157,304
1;1;31;17,07;-10,43;-157,249
1;1;31;17,32;-10,50;-157,286
1;1;31;17,57;-10,43;-157,292
1;1;31;17,75;-10,25;-157,237
